city,house,square metres,type of real estate,floor,price,time_to_sub,nearest_station,address,tech_address,floor_of_flat,MAX_floor
moskva,"42,8 м², 2-комнатная квартира
5 этаж из 5
улица Константина Царёва, 14
Войковская 
11 мин.
14 900 000 ₽
348 131 ₽ за м²
Проверено в Росреестре
ипотека
Номер лота: 28461. Предлагается 2-комнатная квартира площадью 42,8 м, на 5 этаже 5-этажного кирпичного дома, расположенного в 9 минутах пешком от станции метро «Стрешнево». Произведён полный капитальный ремонт, выстроена абсолютно новая и свежая
Показать телефон
В избранное
2 часа назад",42.8,2-комнатная квартира,5,14900000,11,Войковская ,"улица Константина Царёва, 14","moskva улица Константина Царёва, 14",5,5
moskva,"48 м², 2-комнатная квартира
ЖК «Летний сад», 7 этаж из 22
Дмитровское шоссе, 107к1
Селигерская 
10 мин.
12 500 000 ₽
260 417 ₽ за м²
На проверке в Росреестре
ипотека
Жк уровня комфорт +, выдача ключей в октябре 2021.
Показать телефон
В избранное
42 минуты назад",48.0,2-комнатная квартира,7,12500000,10,Селигерская ,"Дмитровское шоссе, 107к1","moskva Дмитровское шоссе, 107к1",7,22
moskva,"65,2 м², 2-комнатные апартаменты
новостройка, Апарт-комплекс «Level Стрешнево» 2022 г., 2 этаж из 25
Волоколамское ш., 81
Тушинская 
13 мин.
15 892 830 ₽
243 755 ₽ за м²
ипотека
Условный номер 2-6. На живописной стрелке Москвы-реки и Сходни продаются 3-к апартаменты без отделки площадью 65,2 кв. м. на 2 этаже 25 этажного корпуса «Юг» апартаментного комплекса бизнес-класса Level Стрешнево от компании Level Group. Отличная
Показать телефон
В избранное
3 часа назад",65.2,2-комнатные апартаменты,2,15892830,13,Тушинская ,bag,"moskva 
новостройка, Апарт-комплекс «Level Стрешнево» 2022 г., 2 этаж из 25
Волоколамское ш., 81",2,25
moskva,"53,5 м², 2-комнатная квартира
8 этаж из 16
2-я улица Марьиной Рощи, 22
Марьина роща 
6 мин.
19 000 000 ₽
355 140 ₽ за м²
ипотека
2 комнатная квартира 53,5 кв.м. в г. Москва ул. 2-я Марьиной Рощи д. 22. Квартира расположена на 8 этаже 16 этажного дома. В квартире выполнен дизайнерский ремонт. Заменены все окна на стеклопакеты, доставленные из Германии, двери производство
Снято 22 часа назад
вчера",53.5,2-комнатная квартира,8,19000000,6,Марьина роща ,"2-я улица Марьиной Рощи, 22","moskva 2-я улица Марьиной Рощи, 22",8,16
moskva,"56,2 м², 2-комнатная квартира
2 этаж из 17
Филёвский бульвар, 40
Фили 
14 мин.
14 500 000 ₽
258 007 ₽ за м²
Хорошая цена!
Лот 63158. Уютная квартира в экологически чистом районе Москвы Филёвский Парк. Спланировано: кухня, гостиная, спальня, 1 совмещенный с/у. Общая площадь 56.2 кв. м. Квартира просторная и светлая, полностью меблирована и оборудована бытовой техникой.
Показать телефон
В избранное
2 часа назад",56.2,2-комнатная квартира,2,14500000,14,Фили ,"Филёвский бульвар, 40","moskva Филёвский бульвар, 40",2,17
moskva,"41,8 м², 2-комнатная квартира
новостройка, ЖК «balance» 3 кв. 2021 г., 6 этаж из 30
Рязанский проспект, с26к2
Окская 
16 мин.
13 226 899 ₽
316 433 ₽ за м²
ипотека
Продается 2-комн. квартира площадью 41,8 кв.м на 6 этаже 30 этажного дома в ЖК Balance. Локация Прогрессивные жилые кварталы расположены на Рязанском проспекте. В 15 минутах пешком метро «Рязанский проспект», в трех минутах станция «Окская улица».
Показать телефон
В избранное
Главстрой
6 часов назад",41.8,2-комнатная квартира,6,13226899,16,Окская ,bag,"moskva 
новостройка, ЖК «balance» 3 кв. 2021 г., 6 этаж из 30
Рязанский проспект, с26к2",6,30
moskva,"55 м², 2-комнатная квартира
новостройка, ЖК «Вестердам» 2022 г., 14 этаж из 29
ЗАО, район Очаково-Матвеевское, жилой комплекс Вестердам
Кунцевская 
17 мин.
18 838 220 ₽
342 700 ₽ за м²
Жилой комплекс комфорт-класса ""Вестердам"" расположится на участке площадью около 10 га, из которых 4 га займет яблоневый сад с прогулочными дорожками и местами отдыха, в районе Очаково-Матвеевское престижного западного направления Москвы, вблизи
Показать телефон
В избранное
22 часа назад",55.0,2-комнатная квартира,14,18838220,17,Кунцевская ,bag,"moskva 
новостройка, ЖК «Вестердам» 2022 г., 14 этаж из 29
ЗАО, район Очаково-Матвеевское, жилой комплекс Вестердам",14,29
moskva,"56,9 м², 2-комнатная квартира
9 этаж из 17
Онежская улица, 51к1
Водный стадион 
15 мин.
14 000 000 ₽
246 046 ₽ за м²
ВНИМАНИЕ, ВЫГОДНОЕ ПРЕДЛОЖЕНИЕ ДЛЯ ДРУЖНОЙ СЕМЬИ! Продается отличная 2комнатная квартира, расположенная зелёном и тихом районе Москвы. Квартира оптимальной планировки. Просторная комната, где Вы можете реализовать смелые дизайнерские решения. Уютная
Показать телефон
В избранное
35 минут назад",56.9,2-комнатная квартира,9,14000000,15,Водный стадион ,"Онежская улица, 51к1","moskva Онежская улица, 51к1",9,17
moskva,"46 м², 2-комнатная квартира
3 этаж из 5
улица Космонавтов, 28
ВДНХ 
18 мин.
6 450 000 ₽
140 217 ₽ за м²
На проверке в Росреестре
Отличное предложение для Вас! Продается квартира на 3 этаже 5 этажного дома. В 15 минутах на маршрутке до метро Котельники. В квартире качественный свежий ремонт - заселяйся и живи. Новая проводка, полы стяжка-ламинат, совмещенный санузел также с
Показать телефон
В избранное
2 часа назад",46.0,2-комнатная квартира,3,6450000,18,ВДНХ ,"улица Космонавтов, 28","moskva улица Космонавтов, 28",3,5
moskva,"65,2 м², 2-комнатные апартаменты
новостройка, Апарт-комплекс «Level Стрешнево» 2022 г., 2 этаж из 25
Волоколамское ш., 81
Тушинская 
13 мин.
15 892 830 ₽
243 755 ₽ за м²
ипотека
Условный номер 2-6. На живописной стрелке Москвы-реки и Сходни продаются 3-к апартаменты без отделки площадью 65,2 кв. м. на 2 этаже 25 этажного корпуса «Юг» апартаментного комплекса бизнес-класса Level Стрешнево от компании Level Group. Отличная
Показать телефон
В избранное
5 часов назад",65.2,2-комнатные апартаменты,2,15892830,13,Тушинская ,bag,"moskva 
новостройка, Апарт-комплекс «Level Стрешнево» 2022 г., 2 этаж из 25
Волоколамское ш., 81",2,25
moskva,"63,7 м², 2-комнатная квартира
ЖК «Настроение», 6 этаж из 22
улица Красная Сосна, 3к2
Ботанический сад 
19 мин.
18 590 844 ₽
291 850 ₽ за м²
Готовы показать онлайн
Корпус сдан! Прямая продажа от застройщика! Продаётся 2-к квартира в сданном корпусе общей площадью 63.7 кв.м. на 6-м этаже 22 этажного дома. Жилой комплекс «Настроение» это уникальная возможность дышать свежим воздухом, не выезжая из города,
Показать телефон
В избранное
ГК ФСК
3 часа назад",63.7,2-комнатная квартира,6,18590844,19,Ботанический сад ,"улица Красная Сосна, 3к2","moskva улица Красная Сосна, 3к2",6,22
moskva,"54 м², 2-комнатная квартира
новостройка, ЖК Russian Design District 2022 г., 10 этаж из 13
поселение Десеновское, посёлок Ватутинки, жилой комплекс Рашен Дизайн Дистрикт», к. 4А
Ольховая 
32 мин.
11 054 000 ₽
204 704 ₽ за м²
О жилом комплексе. Культурно-образовательный кластер Russian Design District проект девелоперской компании Группа Родина. Строится как центр притяжения Новой Москвы. В жилом кластере созданы все условия для получения всестороннего образования,
Показать телефон
В избранное
2 часа назад",54.0,2-комнатная квартира,10,11054000,32,Ольховая ,bag,"moskva 
новостройка, ЖК Russian Design District 2022 г., 10 этаж из 13
поселение Десеновское, посёлок Ватутинки, жилой комплекс Рашен Дизайн Дистрикт», к. 4А",10,13
moskva,"40,5 м², 2-комнатная квартира
новостройка, Жилой район «Скандинавия» 4 кв. 2023 г., 10 этаж из 15
поселение Сосенское, жилой комплекс Скандинавия, улица Эдварда Грига
Коммунарка 
12 мин.
8 879 108 ₽
219 237 ₽ за м²
ипотека
Артикул в базе застройщика 23К-23.2-205. Продается двухкомнатная квартира в новостройке Жилой район «Скандинавия» по адресу Москва, Новомосковский АО, Сосенское С/П, Коммунарка пос., Скандинавский бульвар, д. 2 - 6, район Скандинавия, корп. 8, 13 -
Показать телефон
В избранное
ГК «А101»
5 часов назад",40.5,2-комнатная квартира,10,8879108,12,Коммунарка ,bag,"moskva 
новостройка, Жилой район «Скандинавия» 4 кв. 2023 г., 10 этаж из 15
поселение Сосенское, жилой комплекс Скандинавия, улица Эдварда Грига",10,15
moskva,"62,1 м², 2-комнатная квартира
новостройка, Жилой район «Испанские кварталы» 2023 г., 14 этаж из 15
поселение Сосенское, жилой комплекс Испанские Кварталы 2», к. 5/5
Прокшино 
13 мин.
13 573 889 ₽
218 581 ₽ за м²
ипотека
Артикул в базе застройщика 10К-5.5-596. Продается двухкомнатная квартира в новостройке Жилой район «Испанские кварталы» по адресу Москва, Новомосковский АО, Сосенское С/П, Жилой район «Испанские кварталы», корп. 5.5 (ИК-2). Общая площадь квартиры
Показать телефон
В избранное
ГК «А101»
6 часов назад",62.1,2-комнатная квартира,14,13573889,13,Прокшино ,bag,"moskva 
новостройка, Жилой район «Испанские кварталы» 2023 г., 14 этаж из 15
поселение Сосенское, жилой комплекс Испанские Кварталы 2», к. 5/5",14,15
moskva,"43 м², 2-комнатная квартира
новостройка, Жилой квартал «LIFE-Варшавская» 2024 г., 10 этаж из 10
Каширский проезд, 25к1
Варшавская 
4 мин.
11 105 999 ₽
258 219 ₽ за м²
Smart-квартал будущего LIFE-Варшавская расположен в 20 минутах от центра Москвы: вблизи станций метро Варшавская и Каширская, в пешей доступности от ЖД станции «Коломенское». LIFE-Варшавская это экологичность и энергоэффективность: o Жилой квартал
Показать телефон
В избранное
ГК «Пионер»
5 часов назад",43.0,2-комнатная квартира,10,11105999,4,Варшавская ,"Каширский проезд, 25к1","moskva Каширский проезд, 25к1",10,10
moskva,"53,5 м², 2-комнатная квартира
15 этаж из 17
3-й Митинский переулок, 1
Митино 
8 мин.
13 500 000 ₽
252 336 ₽ за м²
Проверено в Росреестре
Готовы показать онлайн
ипотека, торг
Продаю (собственник)светлую уютную квартиру с двумя изолированными комнатами, балконом(18.1 кв.м. и 14.5 кв.м,0, всего площадь 54.1кв.м) в хорошем состоянии - после косметического ремонта в 5 мин в пешей доступности от м.Митино.Центр Митино. В
Показать телефон
В избранное
2 часа назад",53.5,2-комнатная квартира,15,13500000,8,Митино ,"3-й Митинский переулок, 1","moskva 3-й Митинский переулок, 1",15,17
moskva,"57,8 м², 2-комнатная квартира
3 этаж из 10
Киевская улица, 20
Студенческая 
2 мин.
18 500 000 ₽
320 069 ₽ за м²
Хорошая цена!
ID 63170. Двухкомнатная линейная квартира под ремонт площадью 57.8 кв м в районе Дорогомилово. Планировка включает в себя гостиную, кухню, спальню и ванную комнату. Во дворе находится школа, неподалеку множество магазинов, детский сад. Ближайшие
Показать телефон
В избранное
3 часа назад",57.8,2-комнатная квартира,3,18500000,2,Студенческая ,"Киевская улица, 20","moskva Киевская улица, 20",3,10
moskva,"40,8 м², 2-комнатная квартира
новостройка, ЖК «Level Причальный» 4 кв. 2023 г., 17 этаж из 33
Причальный проезд, 8
Шелепиха 
11 мин.
16 495 277 ₽
404 296 ₽ за м²
ипотека
Условный номер в1-139. На берегу Москвы-реки продается 2-к квартира площадью 40,8 кв.м. на 17 этаже 33 этажного корпуса Bосток жилого комплекса бизнес-класса Level Причальный от компании Level Group. Отличная транспортная доступность. 7 мин. пешком
Показать телефон
В избранное
2 часа назад",40.8,2-комнатная квартира,17,16495277,11,Шелепиха ,"Причальный проезд, 8","moskva Причальный проезд, 8",17,33
moskva,"59,6 м², 2-комнатная квартира
8 этаж из 17
Новотушинский проезд, 10к1
Волоколамская 
7 мин.
13 990 000 ₽
234 732 ₽ за м²
ипотека
Номер лота: 19561. Светлая 2-комнатная не угловая квартира с хорошим косметическим ремонтом, площадью 59,6 м на 8 этаже 17-этажного панельного дома (серия П-44), расположенного рядом с ландшафтным парком «Митино» и в 7 минутах пешком от ст. м.
Показать телефон
В избранное
2 часа назад",59.6,2-комнатная квартира,8,13990000,7,Волоколамская ,"Новотушинский проезд, 10к1","moskva Новотушинский проезд, 10к1",8,17
moskva,"72 м², 2-комнатная квартира
Микрорайон «Новомосковский», 13 этаж из 21
Щербинка, квартал Южный, 5
Остафьево 
17 мин.
10 500 000 ₽
145 833 ₽ за м²
ипотека, торг
Двухкомнатная квартира 71,8 кв. м.1321 эт мк дома с хорошим ремонтом с современной мебелью жилая площадь 40 кв. м., кухня 12 кв. м., лоджия, су раздельный .Вся инфраструктура и транспорт на Москву в шаговой доступности. Чистая продажа .Документы
Снято 1 день назад
5 июля 2021",72.0,2-комнатная квартира,13,10500000,17,Остафьево ,"Щербинка, квартал Южный, 5","moskva Щербинка, квартал Южный, 5",13,21
moskva,"50,7 м², 2-комнатная квартира
ЖК «Фестиваль Парк», 9 этаж из 35
САО, район Левобережный, жилой комплекс Фестиваль Парк, к. 17
Речной вокзал 
10 мин.
16 550 000 ₽
326 430 ₽ за м²
ипотека
Номер лота: 31259. Продаётся видовая 2-комнатная квартира-студия общей площадью 50,7 м, на 9 этаже 35-этажного монолитного дома в жилом комплексе бизнес-класса «Фестиваль Парк» (корпус 19), расположенном в 5 минутах ходьбы от станции метро «Речной
Показать телефон
В избранное
Homeapp, агентство
5 часов назад",50.7,2-комнатная квартира,9,16550000,10,Речной вокзал ,bag,"moskva 
ЖК «Фестиваль Парк», 9 этаж из 35
САО, район Левобережный, жилой комплекс Фестиваль Парк, к. 17",9,35
moskva,"61,2 м², 2-комнатная квартира
новостройка, Жилой район «Бунинские луга» 4 кв. 2022 г., 3 этаж из 17
квартал № 183
Ольховая 
19 мин.
11 768 760 ₽
192 300 ₽ за м²
ипотека
Продается двухкомнатная квартира № 431 в новостройке Жилой район «Бунинские луга» по адресу Москва, Новомосковский АО, Сосенское С/П, ул. Александры Монаховой, корп. 3.5.1. Общая площадь квартиры 61.20 кв. м., этаж 3 из 17, секция 1. Тип проекта, по
Показать телефон
В избранное
Группа Компаний ПИК
2 часа назад",61.2,2-комнатная квартира,3,11768760,19,Ольховая ,bag,"moskva 
новостройка, Жилой район «Бунинские луга» 4 кв. 2022 г., 3 этаж из 17
квартал № 183",3,17
moskva,"53,5 м², 2-комнатная квартира
15 этаж из 17
3-й Митинский переулок, 1
Митино 
8 мин.
13 500 000 ₽
252 336 ₽ за м²
Проверено в Росреестре
Готовы показать онлайн
ипотека, торг
Продаю (собственник)светлую уютную квартиру с двумя изолированными комнатами, балконом(18.1 кв.м. и 14.5 кв.м,0, всего площадь 54.1кв.м) в хорошем состоянии - после косметического ремонта в 5 мин в пешей доступности от м.Митино.Центр Митино. В
Показать телефон
В избранное
42 минуты назад",53.5,2-комнатная квартира,15,13500000,8,Митино ,"3-й Митинский переулок, 1","moskva 3-й Митинский переулок, 1",15,17
moskva,"46,3 м², 2-комнатная квартира
новостройка, ЖК «Level Причальный» 4 кв. 2023 г., 9 этаж из 33
Причальный проезд, 8
Шелепиха 
11 мин.
17 479 362 ₽
377 524 ₽ за м²
ипотека
Условный номер в1-60. На берегу Москвы-реки продается 2-к квартира площадью 46,3 кв.м. на 9 этаже 33 этажного корпуса Bосток жилого комплекса бизнес-класса Level Причальный от компании Level Group. Отличная транспортная доступность. 7 мин. пешком до
Показать телефон
В избранное
3 часа назад",46.3,2-комнатная квартира,9,17479362,11,Шелепиха ,"Причальный проезд, 8","moskva Причальный проезд, 8",9,33
moskva,"48 м², 2-комнатная квартира
ЖК «Летний сад», 7 этаж из 22
Дмитровское шоссе, 107к1
Селигерская 
10 мин.
12 500 000 ₽
260 417 ₽ за м²
На проверке в Росреестре
ипотека
Жк уровня комфорт +, выдача ключей в октябре 2021.
Показать телефон
В избранное
43 минуты назад",48.0,2-комнатная квартира,7,12500000,10,Селигерская ,"Дмитровское шоссе, 107к1","moskva Дмитровское шоссе, 107к1",7,22
moskva,"52,3 м², 2-комнатная квартира
новостройка, Жилой район «Скандинавия» 4 кв. 2023 г., 2 этаж из 15
поселение Сосенское, квартал № 173
Коммунарка 
12 мин.
11 457 628 ₽
219 075 ₽ за м²
ипотека
Артикул в базе застройщика 23К-23.6-775. Продается двухкомнатная квартира в новостройке Жилой район «Скандинавия» по адресу Москва, Новомосковский АО, Сосенское С/П, Коммунарка пос., Скандинавский бульвар, д. 2 - 6, район Скандинавия, корп. 8, 13 -
Показать телефон
В избранное
ГК «А101»
6 часов назад",52.3,2-комнатная квартира,2,11457628,12,Коммунарка ,bag,"moskva 
новостройка, Жилой район «Скандинавия» 4 кв. 2023 г., 2 этаж из 15
поселение Сосенское, квартал № 173",2,15
moskva,"58,9 м², 2-комнатная квартира
ЖК «Кленовые Аллеи», 8 этаж из 17
поселение Десеновское, Чароитовая улица, 1к1
Ольховая 
25 мин.
11 915 470 ₽
202 300 ₽ за м²
ипотека
Продается комфортная 2-комнатная квартира площадью 58.9 кв. метров в центре Новой Москвы. Квартира расположена на 8 этаже, корпус 1, в современном ЖК «Кленовые Аллеи» от ГК «МИЦ». Квартира без отделки. Требуется отделка.Дом сдан. Прямая продажа от
Показать телефон
В избранное
ГК «МИЦ»
5 часов назад",58.9,2-комнатная квартира,8,11915470,25,Ольховая ,"поселение Десеновское, Чароитовая улица, 1к1","moskva поселение Десеновское, Чароитовая улица, 1к1",8,17
moskva,"53,9 м², 2-комнатные апартаменты
новостройка, Апарт-комплекс «Движение. Тушино» 4 кв. 2021 г., 4 этаж из 22
Волоколамское шоссе, вл71/22
Спартак 
5 мин.
14 656 810 ₽
271 926 ₽ за м²
Прямая продажа от застройщика! Продаются 2-к апартаменты общей площадью 53.9 кв.м. на 4-м этаже 22 этажного дома. Жить в движении это значит расти, меняться, достигать целей и ставить новые. А еще это означает быть молодым душой и телом и не знать
Показать телефон
В избранное
ГК ФСК
2 часа назад",53.9,2-комнатные апартаменты,4,14656810,5,Спартак ,bag,"moskva 
новостройка, Апарт-комплекс «Движение. Тушино» 4 кв. 2021 г., 4 этаж из 22
Волоколамское шоссе, вл71/22",4,22
moskva,"59,8 м², 2-комнатная квартира
новостройка, Жилой район «Скандинавия» 3 кв. 2023 г., 6 этаж из 16
поселение Сосенское, квартал № 173
Бульвар адмирала Ушакова 
23 мин.
11 930 061 ₽
199 499 ₽ за м²
ипотека
Артикул в базе застройщика 23К-14.2-301. Продается двухкомнатная квартира в новостройке Жилой район «Скандинавия» по адресу Москва, Новомосковский АО, Сосенское С/П, Коммунарка пос., район Скандинавия Юг, корп. 14.2. Общая площадь квартиры 59.80 кв.
Показать телефон
В избранное
ГК «А101»
2 часа назад",59.8,2-комнатная квартира,6,11930061,23,Бульвар адмирала Ушакова ,bag,"moskva 
новостройка, Жилой район «Скандинавия» 3 кв. 2023 г., 6 этаж из 16
поселение Сосенское, квартал № 173",6,16
moskva,"41,7 м², 2-комнатная квартира
новостройка, ЖК «balance» 3 кв. 2021 г., 9 этаж из 10
Рязанский проспект, с26к2
Окская 
13 мин.
13 382 906 ₽
320 933 ₽ за м²
ипотека
Продается 2-комн. квартира площадью 41,7 кв.м на 9 этаже 10 этажного дома в ЖК Balance. Локация Прогрессивные жилые кварталы расположены на Рязанском проспекте. В 15 минутах пешком метро «Рязанский проспект», в трех минутах станция «Окская улица».
Показать телефон
В избранное
Главстрой
24 июня 2021",41.7,2-комнатная квартира,9,13382906,13,Окская ,bag,"moskva 
новостройка, ЖК «balance» 3 кв. 2021 г., 9 этаж из 10
Рязанский проспект, с26к2",9,10
moskva,"58,5 м², 2-комнатная квартира
Город-парк «Переделкино Ближнее», 5 этаж из 12
поселение Внуковское, улица Бориса Пастернака, 8
Рассказовка 
14 мин.
12 357 430 ₽
211 238 ₽ за м²
ипотека
Продается двухкомнатная квартира с ключами без отделки в городе-парке ""Переделкино Ближнее"". Общая площадь квартиры - 58,5 кв. м, этаж 5 из 12. Тип дома - монолитный. Срок сдачи - 1 квартал 2021 года. Город-парк ""Переделкино Ближнее"" расположен в 8
Показать телефон
В избранное
2 часа назад",58.5,2-комнатная квартира,5,12357430,14,Рассказовка ,"поселение Внуковское, улица Бориса Пастернака, 8","moskva поселение Внуковское, улица Бориса Пастернака, 8",5,12
moskva,"52,7 м², 2-комнатная квартира
новостройка, Жилой район «Саларьево парк» 3 кв. 2023 г., 14 этаж из 16
поселение Сосенское, жилой комплекс Саларьево Парк, 48, к. 1
Филатов Луг 
14 мин.
10 840 390 ₽
205 700 ₽ за м²
ипотека
Продается двухкомнатная квартира № 7141 в новостройке Жилой район «Саларьево парк» по адресу Москва, Новомосковский АО, Московский Г/П, Жилой район «Саларьево парк», корп. 48.1. Общая площадь квартиры 52.70 кв. м., этаж 14 из 16, секция 1. Тип
Показать телефон
В избранное
Группа Компаний ПИК
2 часа назад",52.7,2-комнатная квартира,14,10840390,14,Филатов Луг ,"поселение Сосенское, жилой комплекс Саларьево Парк, 48","moskva поселение Сосенское, жилой комплекс Саларьево Парк, 48",14,16
